iter	Passed	Remaining
589	10073	7000
590	10088	6981
591	10103	6962
592	10116	6943
593	10126	6921
594	10138	6900
595	10150	6880
596	10160	6859
597	10172	6838
598	10185	6818
599	10198	6799
600	10208	6777
601	10223	6758
602	10237	6740
603	10250	6720
604	10265	6701
605	10275	6681
606	10287	6660
607	10300	6641
608	10313	6621
609	10323	6600
610	10335	6580
611	10347	6560
612	10362	6542
613	10379	6524
614	10395	6507
615	10409	6488
616	10422	6469
617	10437	6451
618	10453	6434
619	10470	6417
620	10487	6400
621	10508	6386
622	10527	6370
623	10538	6350
624	10550	6330
625	10563	6311
626	10575	6291
627	10586	6270
628	10599	6251
629	10613	6233
630	10625	6213
631	10642	6196
632	10652	6175
633	10664	6156
634	10676	6136
635	10685	6115
636	10699	6097
637	10712	6078
638	10727	6060
639	10740	6041
640	10756	6024
641	10785	6014
642	10814	6004
643	10852	5998
644	10892	5995
645	10919	5983
646	10962	5981
647	10985	5967
648	11010	5954
649	11027	5937
650	11046	5921
651	11062	5904
652	11078	5887
653	11096	5870
654	11123	5858
655	11159	5851
656	11193	5843
657	11229	5836
658	11283	5838
659	11320	5831
660	11364	5828
661	11422	5831
662	11479	5835
663	11503	5820
664	11517	5802
665	11531	5783
666	11546	5764
667	11562	5746
668	11574	5726
669	11586	5706
670	11596	5685
671	11607	5665
672	11619	5645
673	11630	5625
674	11644	5606
675	11656	5587
676	11669	5567
677	11679	5546
678	11690	5526
679	11703	5507
680	11715	5488
681	11727	5468
682	11743	5450
683	11757	5431
684	11771	5413
685	11784	5394
686	11798	5375
687	11811	5356
688	11823	5337
689	11839	5319
690	11868	5307
691	11890	5292
692	11920	5280
693	11941	5265
694	11991	5262
695	12006	5244
696	12018	5224
697	12030	5205
698	12039	5184
699	12052	5165
700	12063	5145
701	12075	5125
702	12088	5107
703	12102	5088
704	12118	5070
705	12140	5055
706	12160	5039
707	12178	5022
708	12197	5006
709	12213	4988
710	12227	4970
711	12244	4952
712	12262	4935
713	12280	4919
714	12301	4903
715	12329	4890
716	12349	4874
717	12368	4857
718	12388	4841
719	12429	4833
720	12478	4828
721	12520	4820
722	12570	4816
723	12593	4800
724	12619	4786
725	12648	4773
726	12673	4758
727	12688	4740
728	12707	4723
729	12720	4704
730	12741	4688
731	12758	4671
732	12775	4653
733	12795	4636
734	12813	4619
735	12834	4603
736	12857	4588
737	12874	4570
738	12893	4553
739	12908	4535
740	12927	4518
741	12949	4502
742	12966	4485
743	12988	4469
744	13003	4450
745	13021	4433
746	13043	4417
747	13222	4454
748	13325	4465
749	13374	4458
750	13418	4448
751	13435	4430
752	13451	4412
753	13463	4392
754	13480	4374
755	13498	4356
756	13523	4341
757	13544	4324
758	13559	4305
759	13575	4286
760	13589	4268
761	13608	4250
762	13627	4232
763	13644	4214
764	13668	4198
765	13689	4181
766	13708	4164
767	13755	4155
768	13775	4138
769	13801	4122
770	13824	4106
771	13854	4091
772	13881	4076
773	13900	4058
774	13923	4042
775	13942	4024
776	13970	4009
777	14092	4021
778	14236	4038
779	14351	4047
780	14370	4029
781	14390	4011
782	14406	3992
783	14422	3973
784	14437	3954
785	14464	3938
786	14490	3921
787	14520	3906
788	14549	3890
789	14580	3875
790	14598	3857
791	14615	3838
792	14630	3819
793	14644	3799
794	14656	3779
795	14674	3760
796	14688	3741
797	14705	3722
798	14731	3705
799	14752	3688
800	14778	3671
801	14815	3657
802	14836	3639
803	14852	3620
804	14865	3600
805	14879	3581
806	14894	3562
807	14908	3542
808	14921	3522
809	14936	3503
810	14950	3484
811	14963	3464
812	14978	3445
813	14993	3426
814	15008	3406
815	15020	3387
816	15044	3369
817	15062	3351
818	15092	3335
819	15116	3318
820	15138	3300
821	15159	3282
822	15179	3264
823	15199	3246
824	15216	3227
825	15229	3208
826	15243	3188
827	15258	3169
828	15278	3151
829	15297	3133
830	15312	3114
831	15325	3094
832	15339	3075
833	15357	3056
834	15374	3038
835	15393	3019
836	15415	3001
837	15437	2984
838	15462	2967
839	15491	2950
840	15515	2933
841	15544	2916
842	15566	2899
843	15584	2880
844	15600	2861
845	15620	2843
846	15639	2825
847	15664	2807
848	15693	2791
849	15717	2773
850	15742	2756
851	15766	2738
852	15795	2722
853	15829	2706
854	15874	2692
855	15903	2675
856	15934	2658
857	15960	2641
858	15982	2623
859	15996	2604
860	16011	2584
861	16024	2565
862	16041	2546
863	16057	2527
864	16077	2509
865	16104	2491
866	16135	2475
867	16161	2457
868	16188	2440
869	16232	2425
870	16263	2408
871	16293	2391
872	16316	2373
873	16353	2357
874	16401	2343
875	16454	2329
876	16501	2314
877	16518	2295
878	16533	2275
879	16549	2256
880	16568	2238
881	16585	2218
882	16608	2200
883	16634	2182
884	16664	2165
885	16695	2148
886	16716	2129
887	16735	2110
888	16764	2093
889	16780	2073
890	16795	2054
891	16812	2035
892	16826	2016
893	16843	1997
894	16865	1978
895	16893	1960
896	16923	1943
897	16948	1925
898	16978	1907
899	17000	1888
900	17015	1869
901	17034	1850
902	17050	1831
903	17079	1813
904	17103	1795
905	17128	1777
906	17149	1758
907	17178	1740
908	17222	1724
909	17253	1706
910	17272	1687
911	17297	1669
912	17323	1650
913	17342	1631
914	17360	1612
915	17378	1593
916	17398	1574
917	17423	1556
918	17466	1539
919	17506	1522
920	17540	1504
921	17569	1486
922	17590	1467
923	17608	1448
924	17627	1429
925	17681	1412
926	17736	1396
927	17787	1380
928	17836	1363
929	17860	1344
930	17874	1324
931	17906	1306
932	17939	1288
933	17961	1269
934	17980	1249
935	18005	1231
936	18032	1212
937	18052	1193
938	18072	1174
939	18094	1154
940	18111	1135
941	18135	1116
942	18163	1097
943	18182	1078
944	18201	1059
945	18233	1040
946	18280	1023
947	18310	1004
948	18337	985
949	18377	967
950	18400	948
951	18417	928
952	18441	909
953	18461	890
954	18497	871
955	18520	852
956	18538	832
957	18561	813
958	18589	794
959	18615	775
960	18641	756
961	18659	737
962	18676	717
963	18693	698
964	18713	678
965	18732	659
966	18755	640
967	18778	620
968	18797	601
969	18816	581
970	18843	562
971	18876	543
972	18893	524
973	18921	505
974	18957	486
975	18995	467
976	19021	447
977	19042	428
978	19067	409
979	19094	389
980	19125	370
981	19145	350
982	19168	331
983	19188	312
984	19219	292
985	19242	273
986	19267	253
987	19289	234
988	19314	214
989	19339	195
